,person,data_set,data_store,data_size,query,trial,response_time
0,Tjerk,arrest_db,relational,50000,import,1,993.4041500091553
1,Tjerk,arrest_db,relational,50000,1,1,21.941423416137695
2,Tjerk,arrest_db,relational,50000,1,2,18.949031829833984
3,Tjerk,arrest_db,relational,50000,1,3,18.949031829833984
4,Tjerk,arrest_db,relational,50000,1,4,18.949270248413086
5,Tjerk,arrest_db,relational,50000,1,5,18.949031829833984
6,Tjerk,arrest_db,relational,50000,1,6,39.89291191101074
7,Tjerk,arrest_db,relational,50000,1,7,18.949031829833984
8,Tjerk,arrest_db,relational,50000,1,8,18.42784881591797
9,Tjerk,arrest_db,relational,50000,1,9,19.947528839111328
10,Tjerk,arrest_db,relational,50000,1,10,19.979238510131836
11,Tjerk,arrest_db,relational,50000,2,1,50.89831352233887
12,Tjerk,arrest_db,relational,50000,2,2,51.894426345825195
13,Tjerk,arrest_db,relational,50000,2,3,51.85890197753906
14,Tjerk,arrest_db,relational,50000,2,4,54.8553466796875
15,Tjerk,arrest_db,relational,50000,2,5,50.89759826660156
16,Tjerk,arrest_db,relational,50000,2,6,51.85890197753906
17,Tjerk,arrest_db,relational,50000,2,7,50.89545249938965
18,Tjerk,arrest_db,relational,50000,2,8,50.89831352233887
19,Tjerk,arrest_db,relational,50000,2,9,53.85708808898926
20,Tjerk,arrest_db,relational,50000,2,10,51.8949031829834
21,Tjerk,arrest_db,relational,50000,3,1,16.008853912353516
22,Tjerk,arrest_db,relational,50000,3,2,15.012979507446289
23,Tjerk,arrest_db,relational,50000,3,3,15.982627868652344
24,Tjerk,arrest_db,relational,50000,3,4,15.9912109375
25,Tjerk,arrest_db,relational,50000,3,5,15.95926284790039
26,Tjerk,arrest_db,relational,50000,3,6,14.99319076538086
27,Tjerk,arrest_db,relational,50000,3,7,14.960050582885742
28,Tjerk,arrest_db,relational,50000,3,8,15.956878662109375
29,Tjerk,arrest_db,relational,50000,3,9,14.959335327148438
30,Tjerk,arrest_db,relational,50000,3,10,14.99485969543457
31,Tjerk,arrest_db,relational,50000,4,1,236.39965057373047
32,Tjerk,arrest_db,relational,50000,4,2,234.3740463256836
33,Tjerk,arrest_db,relational,50000,4,3,236.40131950378418
34,Tjerk,arrest_db,relational,50000,4,4,238.33775520324707
35,Tjerk,arrest_db,relational,50000,4,5,236.40060424804688
36,Tjerk,arrest_db,relational,50000,4,6,238.38090896606445
37,Tjerk,arrest_db,relational,50000,4,7,241.38736724853516
38,Tjerk,arrest_db,relational,50000,4,8,239.38226699829102
39,Tjerk,arrest_db,relational,50000,4,9,237.3650074005127
40,Tjerk,arrest_db,relational,50000,4,10,239.35985565185547
41,Tjerk,arrest_db,relational,50000,5,1,73.80247116088867
42,Tjerk,arrest_db,relational,50000,5,2,70.81055641174316
43,Tjerk,arrest_db,relational,50000,5,3,72.80540466308594
44,Tjerk,arrest_db,relational,50000,5,4,74.76353645324707
45,Tjerk,arrest_db,relational,50000,5,5,73.80247116088867
46,Tjerk,arrest_db,relational,50000,5,6,72.80516624450684
47,Tjerk,arrest_db,relational,50000,5,7,71.8073844909668
48,Tjerk,arrest_db,relational,50000,5,8,71.84267044067383
49,Tjerk,arrest_db,relational,50000,5,9,72.80492782592773
50,Tjerk,arrest_db,relational,50000,5,10,71.8080997467041
51,Tjerk,arrest_db,relational,50000,6,1,197.47138023376465
52,Tjerk,arrest_db,relational,50000,6,2,198.46868515014648
53,Tjerk,arrest_db,relational,50000,6,3,198.4689235687256
54,Tjerk,arrest_db,relational,50000,6,4,201.4608383178711
55,Tjerk,arrest_db,relational,50000,6,5,204.4525146484375
56,Tjerk,arrest_db,relational,50000,6,6,199.49984550476074
57,Tjerk,arrest_db,relational,50000,6,7,196.48408889770508
58,Tjerk,arrest_db,relational,50000,6,8,193.44568252563477
59,Tjerk,arrest_db,relational,50000,6,9,195.47677040100098
60,Tjerk,arrest_db,relational,50000,6,10,193.4819221496582
61,Tjerk,arrest_db,relational,50000,7,1,259.3061923980713
62,Tjerk,arrest_db,relational,50000,7,2,253.32236289978027
63,Tjerk,arrest_db,relational,50000,7,3,286.23485565185547
64,Tjerk,arrest_db,relational,50000,7,4,250.29468536376953
65,Tjerk,arrest_db,relational,50000,7,5,262.2981071472168
66,Tjerk,arrest_db,relational,50000,7,6,257.08985328674316
67,Tjerk,arrest_db,relational,50000,7,7,258.40044021606445
68,Tjerk,arrest_db,relational,50000,7,8,247.03335762023926
69,Tjerk,arrest_db,relational,50000,7,9,243.37530136108398
70,Tjerk,arrest_db,relational,50000,7,10,248.38590621948242
71,Tjerk,arrest_db,relational,50000,8,1,105.75485229492188
72,Tjerk,arrest_db,relational,50000,8,2,108.72864723205566
73,Tjerk,arrest_db,relational,50000,8,3,110.68296432495117
74,Tjerk,arrest_db,relational,50000,8,4,109.74645614624023
75,Tjerk,arrest_db,relational,50000,8,5,112.7173900604248
76,Tjerk,arrest_db,relational,50000,8,6,111.73105239868164
77,Tjerk,arrest_db,relational,50000,8,7,110.73589324951172
78,Tjerk,arrest_db,relational,50000,8,8,109.7404956817627
79,Tjerk,arrest_db,relational,50000,8,9,111.73558235168457
80,Tjerk,arrest_db,relational,50000,8,10,120.71728706359863
81,Tjerk,arrest_db,relational,50000,9,1,249.36485290527344
82,Tjerk,arrest_db,relational,50000,9,2,240.39149284362793
83,Tjerk,arrest_db,relational,50000,9,3,252.36201286315918
84,Tjerk,arrest_db,relational,50000,9,4,239.36080932617188
85,Tjerk,arrest_db,relational,50000,9,5,240.35382270812988
86,Tjerk,arrest_db,relational,50000,9,6,236.40155792236328
87,Tjerk,arrest_db,relational,50000,9,7,236.33527755737305
88,Tjerk,arrest_db,relational,50000,9,8,235.3665828704834
89,Tjerk,arrest_db,relational,50000,9,9,275.28977394104004
90,Tjerk,arrest_db,relational,50000,9,10,255.3412914276123
91,Tjerk,arrest_db,relational,50000,10,1,8.036613464355469
92,Tjerk,arrest_db,relational,50000,10,2,8.030176162719727
93,Tjerk,arrest_db,relational,50000,10,3,7.980823516845703
94,Tjerk,arrest_db,relational,50000,10,4,7.9784393310546875
95,Tjerk,arrest_db,relational,50000,10,5,9.027719497680664
96,Tjerk,arrest_db,relational,50000,10,6,8.976459503173828
97,Tjerk,arrest_db,relational,50000,10,7,9.030342102050781
98,Tjerk,arrest_db,relational,50000,10,8,7.978200912475586
99,Tjerk,arrest_db,relational,50000,10,9,9.023666381835938
100,Tjerk,arrest_db,relational,50000,10,10,7.0247650146484375
101,Tjerk,arrest_db,relational,50000,11,1,204.50496673583984
102,Tjerk,arrest_db,relational,50000,11,2,196.49314880371094
103,Tjerk,arrest_db,relational,50000,11,3,206.4800262451172
104,Tjerk,arrest_db,relational,50000,11,4,202.45885848999023
105,Tjerk,arrest_db,relational,50000,11,5,194.5023536682129
106,Tjerk,arrest_db,relational,50000,11,6,207.48567581176758
107,Tjerk,arrest_db,relational,50000,11,7,201.46679878234863
108,Tjerk,arrest_db,relational,50000,11,8,214.86186981201172
109,Tjerk,arrest_db,relational,50000,11,9,192.5368309020996
110,Tjerk,arrest_db,relational,50000,11,10,191.5433406829834
111,Tjerk,arrest_db,relational,60000,import,1,1279.9303531646729
112,Tjerk,arrest_db,relational,60000,1,1,23.932933807373047
113,Tjerk,arrest_db,relational,60000,1,2,21.941423416137695
114,Tjerk,arrest_db,relational,60000,1,3,22.93848991394043
115,Tjerk,arrest_db,relational,60000,1,4,22.93848991394043
116,Tjerk,arrest_db,relational,60000,1,5,22.938966751098633
117,Tjerk,arrest_db,relational,60000,1,6,22.93848991394043
118,Tjerk,arrest_db,relational,60000,1,7,22.93848991394043
119,Tjerk,arrest_db,relational,60000,1,8,22.938013076782227
120,Tjerk,arrest_db,relational,60000,1,9,21.941184997558594
121,Tjerk,arrest_db,relational,60000,1,10,22.938251495361328
122,Tjerk,arrest_db,relational,60000,2,1,61.83433532714844
123,Tjerk,arrest_db,relational,60000,2,2,62.83164024353027
124,Tjerk,arrest_db,relational,60000,2,3,64.82601165771484
125,Tjerk,arrest_db,relational,60000,2,4,63.82894515991211
126,Tjerk,arrest_db,relational,60000,2,5,62.83211708068848
127,Tjerk,arrest_db,relational,60000,2,6,63.82894515991211
128,Tjerk,arrest_db,relational,60000,2,7,63.82894515991211
129,Tjerk,arrest_db,relational,60000,2,8,61.83457374572754
130,Tjerk,arrest_db,relational,60000,2,9,62.83164024353027
131,Tjerk,arrest_db,relational,60000,2,10,62.83164024353027
132,Tjerk,arrest_db,relational,60000,3,1,19.94633674621582
133,Tjerk,arrest_db,relational,60000,3,2,18.949031829833984
134,Tjerk,arrest_db,relational,60000,3,3,18.949270248413086
135,Tjerk,arrest_db,relational,60000,3,4,18.949270248413086
136,Tjerk,arrest_db,relational,60000,3,5,18.975257873535156
137,Tjerk,arrest_db,relational,60000,3,6,19.954442977905273
138,Tjerk,arrest_db,relational,60000,3,7,19.912004470825195
139,Tjerk,arrest_db,relational,60000,3,8,18.949270248413086
140,Tjerk,arrest_db,relational,60000,3,9,18.949508666992188
141,Tjerk,arrest_db,relational,60000,3,10,17.95172691345215
142,Tjerk,arrest_db,relational,60000,4,1,301.1937141418457
143,Tjerk,arrest_db,relational,60000,4,2,300.19664764404297
144,Tjerk,arrest_db,relational,60000,4,3,318.14050674438477
145,Tjerk,arrest_db,relational,60000,4,4,305.2175045013428
146,Tjerk,arrest_db,relational,60000,4,5,304.1524887084961
147,Tjerk,arrest_db,relational,60000,4,6,299.19958114624023
148,Tjerk,arrest_db,relational,60000,4,7,299.19981956481934
149,Tjerk,arrest_db,relational,60000,4,8,297.2402572631836
150,Tjerk,arrest_db,relational,60000,4,9,297.66345024108887
151,Tjerk,arrest_db,relational,60000,4,10,295.2101230621338
152,Tjerk,arrest_db,relational,60000,5,1,82.7782154083252
153,Tjerk,arrest_db,relational,60000,5,2,82.7784538269043
154,Tjerk,arrest_db,relational,60000,5,3,83.76193046569824
155,Tjerk,arrest_db,relational,60000,5,4,82.7784538269043
156,Tjerk,arrest_db,relational,60000,5,5,82.7782154083252
157,Tjerk,arrest_db,relational,60000,5,6,82.7779769897461
158,Tjerk,arrest_db,relational,60000,5,7,82.7789306640625
159,Tjerk,arrest_db,relational,60000,5,8,81.78162574768066
160,Tjerk,arrest_db,relational,60000,5,9,82.7786922454834
161,Tjerk,arrest_db,relational,60000,5,10,83.76741409301758
162,Tjerk,arrest_db,relational,60000,6,1,261.31224632263184
163,Tjerk,arrest_db,relational,60000,6,2,279.2532444000244
164,Tjerk,arrest_db,relational,60000,6,3,263.2625102996826
165,Tjerk,arrest_db,relational,60000,6,4,274.26624298095703
166,Tjerk,arrest_db,relational,60000,6,5,261.3351345062256
167,Tjerk,arrest_db,relational,60000,6,6,258.27479362487793
168,Tjerk,arrest_db,relational,60000,6,7,252.3813247680664
169,Tjerk,arrest_db,relational,60000,6,8,263.29946517944336
170,Tjerk,arrest_db,relational,60000,6,9,263.29612731933594
171,Tjerk,arrest_db,relational,60000,6,10,268.2826519012451
172,Tjerk,arrest_db,relational,60000,7,1,329.1125297546387
173,Tjerk,arrest_db,relational,60000,7,2,327.14271545410156
174,Tjerk,arrest_db,relational,60000,7,3,324.16605949401855
175,Tjerk,arrest_db,relational,60000,7,4,328.1581401824951
176,Tjerk,arrest_db,relational,60000,7,5,326.1256217956543
177,Tjerk,arrest_db,relational,60000,7,6,334.1078758239746
178,Tjerk,arrest_db,relational,60000,7,7,324.0959644317627
179,Tjerk,arrest_db,relational,60000,7,8,330.11651039123535
180,Tjerk,arrest_db,relational,60000,7,9,328.1221389770508
181,Tjerk,arrest_db,relational,60000,7,10,320.09053230285645
182,Tjerk,arrest_db,relational,60000,8,1,161.56768798828125
183,Tjerk,arrest_db,relational,60000,8,2,165.59267044067383
184,Tjerk,arrest_db,relational,60000,8,3,173.5069751739502
185,Tjerk,arrest_db,relational,60000,8,4,162.5649929046631
186,Tjerk,arrest_db,relational,60000,8,5,162.56475448608398
187,Tjerk,arrest_db,relational,60000,8,6,163.5572910308838
188,Tjerk,arrest_db,relational,60000,8,7,159.57307815551758
189,Tjerk,arrest_db,relational,60000,8,8,161.52024269104004
190,Tjerk,arrest_db,relational,60000,8,9,161.5924835205078
191,Tjerk,arrest_db,relational,60000,8,10,159.53850746154785
192,Tjerk,arrest_db,relational,60000,9,1,324.16653633117676
193,Tjerk,arrest_db,relational,60000,9,2,325.09708404541016
194,Tjerk,arrest_db,relational,60000,9,3,312.1647834777832
195,Tjerk,arrest_db,relational,60000,9,4,322.13830947875977
196,Tjerk,arrest_db,relational,60000,9,5,333.1427574157715
197,Tjerk,arrest_db,relational,60000,9,6,324.0993022918701
198,Tjerk,arrest_db,relational,60000,9,7,320.1432228088379
199,Tjerk,arrest_db,relational,60000,9,8,316.15424156188965
200,Tjerk,arrest_db,relational,60000,9,9,316.15400314331055
201,Tjerk,arrest_db,relational,60000,9,10,340.12818336486816
202,Tjerk,arrest_db,relational,60000,10,1,7.033109664916992
203,Tjerk,arrest_db,relational,60000,10,2,7.9784393310546875
204,Tjerk,arrest_db,relational,60000,10,3,7.0343017578125
205,Tjerk,arrest_db,relational,60000,10,4,7.009983062744141
206,Tjerk,arrest_db,relational,60000,10,5,6.943702697753906
207,Tjerk,arrest_db,relational,60000,10,6,6.9484710693359375
208,Tjerk,arrest_db,relational,60000,10,7,7.033109664916992
209,Tjerk,arrest_db,relational,60000,10,8,7.034778594970703
210,Tjerk,arrest_db,relational,60000,10,9,7.620096206665039
211,Tjerk,arrest_db,relational,60000,10,10,7.024288177490234
212,Tjerk,arrest_db,relational,60000,11,1,252.3791790008545
213,Tjerk,arrest_db,relational,60000,11,2,249.38583374023438
214,Tjerk,arrest_db,relational,60000,11,3,252.38752365112305
215,Tjerk,arrest_db,relational,60000,11,4,249.38488006591797
216,Tjerk,arrest_db,relational,60000,11,5,251.29222869873047
217,Tjerk,arrest_db,relational,60000,11,6,251.38115882873535
218,Tjerk,arrest_db,relational,60000,11,7,248.35634231567383
219,Tjerk,arrest_db,relational,60000,11,8,249.34983253479004
220,Tjerk,arrest_db,relational,60000,11,9,247.39766120910645
221,Tjerk,arrest_db,relational,60000,11,10,253.37481498718262
222,Tjerk,arrest_db,relational,80000,import,1,1734.8816394805908
223,Tjerk,arrest_db,relational,80000,1,1,30.890703201293945
224,Tjerk,arrest_db,relational,80000,1,2,28.922319412231445
225,Tjerk,arrest_db,relational,80000,1,3,28.92279624938965
226,Tjerk,arrest_db,relational,80000,1,4,28.922319412231445
227,Tjerk,arrest_db,relational,80000,1,5,28.922557830810547
228,Tjerk,arrest_db,relational,80000,1,6,28.954744338989258
229,Tjerk,arrest_db,relational,80000,1,7,32.91463851928711
230,Tjerk,arrest_db,relational,80000,1,8,29.870271682739258
231,Tjerk,arrest_db,relational,80000,1,9,29.920101165771484
232,Tjerk,arrest_db,relational,80000,1,10,29.920339584350586
233,Tjerk,arrest_db,relational,80000,2,1,80.78408241271973
234,Tjerk,arrest_db,relational,80000,2,2,83.7702751159668
235,Tjerk,arrest_db,relational,80000,2,3,83.77718925476074
236,Tjerk,arrest_db,relational,80000,2,4,81.78114891052246
237,Tjerk,arrest_db,relational,80000,2,5,85.7541561126709
238,Tjerk,arrest_db,relational,80000,2,6,82.7789306640625
239,Tjerk,arrest_db,relational,80000,2,7,83.81056785583496
240,Tjerk,arrest_db,relational,80000,2,8,87.77523040771484
241,Tjerk,arrest_db,relational,80000,2,9,84.74016189575195
242,Tjerk,arrest_db,relational,80000,2,10,81.78377151489258
243,Tjerk,arrest_db,relational,80000,3,1,25.93088150024414
244,Tjerk,arrest_db,relational,80000,3,2,25.906801223754883
245,Tjerk,arrest_db,relational,80000,3,3,24.935245513916016
246,Tjerk,arrest_db,relational,80000,3,4,24.931907653808594
247,Tjerk,arrest_db,relational,80000,3,5,23.910045623779297
248,Tjerk,arrest_db,relational,80000,3,6,24.933338165283203
249,Tjerk,arrest_db,relational,80000,3,7,23.935794830322266
250,Tjerk,arrest_db,relational,80000,3,8,22.93872833251953
251,Tjerk,arrest_db,relational,80000,3,9,23.969650268554688
252,Tjerk,arrest_db,relational,80000,3,10,25.96592903137207
253,Tjerk,arrest_db,relational,80000,4,1,397.9346752166748
254,Tjerk,arrest_db,relational,80000,4,2,404.9513339996338
255,Tjerk,arrest_db,relational,80000,4,3,399.92833137512207
256,Tjerk,arrest_db,relational,80000,4,4,401.9198417663574
257,Tjerk,arrest_db,relational,80000,4,5,398.93317222595215
258,Tjerk,arrest_db,relational,80000,4,6,401.92532539367676
259,Tjerk,arrest_db,relational,80000,4,7,405.9112071990967
260,Tjerk,arrest_db,relational,80000,4,8,408.9062213897705
261,Tjerk,arrest_db,relational,80000,4,9,401.9193649291992
262,Tjerk,arrest_db,relational,80000,4,10,401.8900394439697
263,Tjerk,arrest_db,relational,80000,5,1,131.68048858642578
264,Tjerk,arrest_db,relational,80000,5,2,134.59253311157227
265,Tjerk,arrest_db,relational,80000,5,3,133.00299644470215
266,Tjerk,arrest_db,relational,80000,5,4,140.6571865081787
267,Tjerk,arrest_db,relational,80000,5,5,133.6367130279541
268,Tjerk,arrest_db,relational,80000,5,6,134.6590518951416
269,Tjerk,arrest_db,relational,80000,5,7,134.61732864379883
270,Tjerk,arrest_db,relational,80000,5,8,133.96906852722168
271,Tjerk,arrest_db,relational,80000,5,9,132.69853591918945
272,Tjerk,arrest_db,relational,80000,5,10,134.58585739135742
273,Tjerk,arrest_db,relational,80000,6,1,342.1194553375244
274,Tjerk,arrest_db,relational,80000,6,2,338.1364345550537
275,Tjerk,arrest_db,relational,80000,6,3,339.1256332397461
276,Tjerk,arrest_db,relational,80000,6,4,342.1170711517334
277,Tjerk,arrest_db,relational,80000,6,5,352.09083557128906
278,Tjerk,arrest_db,relational,80000,6,6,343.11747550964355
279,Tjerk,arrest_db,relational,80000,6,7,343.08362007141113
