,person,data_set,data_store,data_size,query,trial,response_time
0,felix,arrest_db,relational,50000,import,1,2109.5638275146484
1,felix,arrest_db,relational,50000,1,1,30.855894088745117
2,felix,arrest_db,relational,50000,1,2,27.302265167236328
3,felix,arrest_db,relational,50000,1,3,25.191783905029297
4,felix,arrest_db,relational,50000,1,4,24.996042251586914
5,felix,arrest_db,relational,50000,1,5,24.836063385009766
6,felix,arrest_db,relational,50000,1,6,26.381731033325195
7,felix,arrest_db,relational,50000,1,7,25.6807804107666
8,felix,arrest_db,relational,50000,1,8,26.996374130249023
9,felix,arrest_db,relational,50000,1,9,25.810956954956055
10,felix,arrest_db,relational,50000,1,10,25.46095848083496
11,felix,arrest_db,relational,50000,2,1,65.43087959289551
12,felix,arrest_db,relational,50000,2,2,63.053131103515625
13,felix,arrest_db,relational,50000,2,3,62.0121955871582
14,felix,arrest_db,relational,50000,2,4,68.43304634094238
15,felix,arrest_db,relational,50000,2,5,62.8511905670166
16,felix,arrest_db,relational,50000,2,6,62.77108192443848
17,felix,arrest_db,relational,50000,2,7,63.339948654174805
18,felix,arrest_db,relational,50000,2,8,63.86113166809082
19,felix,arrest_db,relational,50000,2,9,63.539981842041016
20,felix,arrest_db,relational,50000,2,10,66.8940544128418
21,felix,arrest_db,relational,50000,3,1,26.254653930664062
22,felix,arrest_db,relational,50000,3,2,26.346921920776367
23,felix,arrest_db,relational,50000,3,3,25.658130645751953
24,felix,arrest_db,relational,50000,3,4,25.074243545532227
25,felix,arrest_db,relational,50000,3,5,25.581836700439453
26,felix,arrest_db,relational,50000,3,6,24.80483055114746
27,felix,arrest_db,relational,50000,3,7,24.978160858154297
28,felix,arrest_db,relational,50000,3,8,25.166034698486328
29,felix,arrest_db,relational,50000,3,9,24.827957153320312
30,felix,arrest_db,relational,50000,3,10,25.863170623779297
31,felix,arrest_db,relational,50000,4,1,625.8018016815186
32,felix,arrest_db,relational,50000,4,2,633.1639289855957
33,felix,arrest_db,relational,50000,4,3,620.4092502593994
34,felix,arrest_db,relational,50000,4,4,627.5019645690918
35,felix,arrest_db,relational,50000,4,5,623.6600875854492
36,felix,arrest_db,relational,50000,4,6,623.0041980743408
37,felix,arrest_db,relational,50000,4,7,624.415397644043
38,felix,arrest_db,relational,50000,4,8,623.2790946960449
39,felix,arrest_db,relational,50000,4,9,623.0261325836182
40,felix,arrest_db,relational,50000,4,10,624.0568161010742
41,felix,arrest_db,relational,50000,5,1,106.58502578735352
42,felix,arrest_db,relational,50000,5,2,103.86013984680176
43,felix,arrest_db,relational,50000,5,3,105.01384735107422
44,felix,arrest_db,relational,50000,5,4,105.7279109954834
45,felix,arrest_db,relational,50000,5,5,108.77680778503418
46,felix,arrest_db,relational,50000,5,6,106.35209083557129
47,felix,arrest_db,relational,50000,5,7,106.51588439941406
48,felix,arrest_db,relational,50000,5,8,105.52501678466797
49,felix,arrest_db,relational,50000,5,9,108.54911804199219
50,felix,arrest_db,relational,50000,5,10,108.78586769104004
51,felix,arrest_db,relational,50000,6,1,551.9380569458008
52,felix,arrest_db,relational,50000,6,2,549.4978427886963
53,felix,arrest_db,relational,50000,6,3,546.3948249816895
54,felix,arrest_db,relational,50000,6,4,552.8430938720703
55,felix,arrest_db,relational,50000,6,5,545.6581115722656
56,felix,arrest_db,relational,50000,6,6,546.2648868560791
57,felix,arrest_db,relational,50000,6,7,545.922040939331
58,felix,arrest_db,relational,50000,6,8,547.511100769043
59,felix,arrest_db,relational,50000,6,9,542.0777797698975
60,felix,arrest_db,relational,50000,6,10,546.8077659606934
61,felix,arrest_db,relational,50000,7,1,692.227840423584
62,felix,arrest_db,relational,50000,7,2,690.0489330291748
63,felix,arrest_db,relational,50000,7,3,686.9001388549805
64,felix,arrest_db,relational,50000,7,4,693.6709880828857
65,felix,arrest_db,relational,50000,7,5,747.542142868042
66,felix,arrest_db,relational,50000,7,6,728.9457321166992
67,felix,arrest_db,relational,50000,7,7,686.8669986724854
68,felix,arrest_db,relational,50000,7,8,687.2951984405518
69,felix,arrest_db,relational,50000,7,9,688.6672973632812
70,felix,arrest_db,relational,50000,7,10,687.3059272766113
71,felix,arrest_db,relational,50000,8,1,211.96913719177246
72,felix,arrest_db,relational,50000,8,2,208.5278034210205
73,felix,arrest_db,relational,50000,8,3,209.11693572998047
74,felix,arrest_db,relational,50000,8,4,210.21413803100586
75,felix,arrest_db,relational,50000,8,5,211.00211143493652
76,felix,arrest_db,relational,50000,8,6,213.38224411010742
77,felix,arrest_db,relational,50000,8,7,211.17281913757324
78,felix,arrest_db,relational,50000,8,8,210.26206016540527
79,felix,arrest_db,relational,50000,8,9,204.848051071167
80,felix,arrest_db,relational,50000,8,10,211.1520767211914
81,felix,arrest_db,relational,50000,9,1,681.5550327301025
82,felix,arrest_db,relational,50000,9,2,656.2850475311279
83,felix,arrest_db,relational,50000,9,3,672.4739074707031
84,felix,arrest_db,relational,50000,9,4,667.2508716583252
85,felix,arrest_db,relational,50000,9,5,655.005931854248
86,felix,arrest_db,relational,50000,9,6,658.3242416381836
87,felix,arrest_db,relational,50000,9,7,673.0759143829346
88,felix,arrest_db,relational,50000,9,8,663.9266014099121
89,felix,arrest_db,relational,50000,9,9,657.1106910705566
90,felix,arrest_db,relational,50000,9,10,672.368049621582
