,person,data_set,data_store,data_size,query,trial,response_time
0,rob,arrest_db,relational,50000,import,1,697.2177028656006
1,rob,arrest_db,relational,50000,1,1,26.99422836303711
2,rob,arrest_db,relational,50000,1,2,18.62812042236328
3,rob,arrest_db,relational,50000,1,3,17.59791374206543
4,rob,arrest_db,relational,50000,1,4,17.770051956176758
5,rob,arrest_db,relational,50000,1,5,18.31817626953125
6,rob,arrest_db,relational,50000,1,6,18.832921981811523
7,rob,arrest_db,relational,50000,1,7,17.595529556274414
8,rob,arrest_db,relational,50000,1,8,45.95327377319336
9,rob,arrest_db,relational,50000,1,9,27.05860137939453
10,rob,arrest_db,relational,50000,1,10,20.25294303894043
11,rob,arrest_db,relational,50000,2,1,52.38175392150879
12,rob,arrest_db,relational,50000,2,2,51.42831802368164
13,rob,arrest_db,relational,50000,2,3,53.55024337768555
14,rob,arrest_db,relational,50000,2,4,55.1753044128418
15,rob,arrest_db,relational,50000,2,5,61.83505058288574
16,rob,arrest_db,relational,50000,2,6,52.37412452697754
17,rob,arrest_db,relational,50000,2,7,57.49034881591797
18,rob,arrest_db,relational,50000,2,8,52.05965042114258
19,rob,arrest_db,relational,50000,2,9,51.3911247253418
20,rob,arrest_db,relational,50000,2,10,52.73151397705078
21,rob,arrest_db,relational,50000,3,1,15.462636947631836
22,rob,arrest_db,relational,50000,3,2,15.675544738769531
23,rob,arrest_db,relational,50000,3,3,14.252185821533203
24,rob,arrest_db,relational,50000,3,4,14.425992965698242
25,rob,arrest_db,relational,50000,3,5,14.256954193115234
26,rob,arrest_db,relational,50000,3,6,14.271974563598633
27,rob,arrest_db,relational,50000,3,7,14.470100402832031
28,rob,arrest_db,relational,50000,3,8,14.234781265258789
29,rob,arrest_db,relational,50000,3,9,14.426946640014648
30,rob,arrest_db,relational,50000,3,10,14.243841171264648
31,rob,arrest_db,relational,50000,4,1,199.537992477417
32,rob,arrest_db,relational,50000,4,2,182.14774131774902
33,rob,arrest_db,relational,50000,4,3,182.04593658447266
34,rob,arrest_db,relational,50000,4,4,182.42812156677246
35,rob,arrest_db,relational,50000,4,5,182.08718299865723
36,rob,arrest_db,relational,50000,4,6,184.71455574035645
37,rob,arrest_db,relational,50000,4,7,184.86547470092773
38,rob,arrest_db,relational,50000,4,8,185.00709533691406
39,rob,arrest_db,relational,50000,4,9,186.0189437866211
40,rob,arrest_db,relational,50000,4,10,184.0837001800537
41,rob,arrest_db,relational,50000,5,1,73.43530654907227
42,rob,arrest_db,relational,50000,5,2,70.53446769714355
43,rob,arrest_db,relational,50000,5,3,70.77503204345703
44,rob,arrest_db,relational,50000,5,4,82.74221420288086
45,rob,arrest_db,relational,50000,5,5,78.35674285888672
46,rob,arrest_db,relational,50000,5,6,74.31888580322266
47,rob,arrest_db,relational,50000,5,7,71.97928428649902
48,rob,arrest_db,relational,50000,5,8,72.17884063720703
49,rob,arrest_db,relational,50000,5,9,77.90613174438477
50,rob,arrest_db,relational,50000,5,10,79.28919792175293
51,rob,arrest_db,relational,50000,6,1,141.71409606933594
52,rob,arrest_db,relational,50000,6,2,152.96053886413574
53,rob,arrest_db,relational,50000,6,3,143.2504653930664
54,rob,arrest_db,relational,50000,6,4,142.76528358459473
55,rob,arrest_db,relational,50000,6,5,144.39105987548828
56,rob,arrest_db,relational,50000,6,6,146.0871696472168
57,rob,arrest_db,relational,50000,6,7,142.58074760437012
58,rob,arrest_db,relational,50000,6,8,142.4868106842041
59,rob,arrest_db,relational,50000,6,9,142.02332496643066
60,rob,arrest_db,relational,50000,6,10,142.43078231811523
61,rob,arrest_db,relational,50000,7,1,185.87636947631836
62,rob,arrest_db,relational,50000,7,2,195.05786895751953
63,rob,arrest_db,relational,50000,7,3,182.97338485717773
64,rob,arrest_db,relational,50000,7,4,182.8751564025879
65,rob,arrest_db,relational,50000,7,5,182.06334114074707
66,rob,arrest_db,relational,50000,7,6,192.26670265197754
67,rob,arrest_db,relational,50000,7,7,186.05327606201172
68,rob,arrest_db,relational,50000,7,8,183.5184097290039
69,rob,arrest_db,relational,50000,7,9,182.08074569702148
70,rob,arrest_db,relational,50000,7,10,182.20067024230957
71,rob,arrest_db,relational,50000,8,1,121.9794750213623
72,rob,arrest_db,relational,50000,8,2,126.5559196472168
73,rob,arrest_db,relational,50000,8,3,112.66660690307617
74,rob,arrest_db,relational,50000,8,4,117.11621284484863
75,rob,arrest_db,relational,50000,8,5,119.37546730041504
76,rob,arrest_db,relational,50000,8,6,115.18311500549316
77,rob,arrest_db,relational,50000,8,7,120.35250663757324
78,rob,arrest_db,relational,50000,8,8,120.27525901794434
79,rob,arrest_db,relational,50000,8,9,121.23799324035645
80,rob,arrest_db,relational,50000,8,10,120.89872360229492
81,rob,arrest_db,relational,50000,9,1,172.4684238433838
82,rob,arrest_db,relational,50000,9,2,183.70676040649414
83,rob,arrest_db,relational,50000,9,3,172.74212837219238
84,rob,arrest_db,relational,50000,9,4,172.16801643371582
